"anio","mes","d_total","ds_o3","dl_o3","ds_pm10","dl_pm10","ds_pm25","dl_pm25","ds_o3_pm10","dl_o3_pm10","ds_o3_pm10_pm25","dl_o3_pm10_pm25"
2012,"ene.",31,6,25,29,2,16,15,29,2,29,2
2012,"feb.",29,9,20,14,15,4,25,15,14,15,14
2012,"mar.",31,25,6,20,11,4,27,28,3,28,3
2012,"abr.",30,16,14,20,10,7,23,23,7,23,7
2012,"may.",31,27,4,23,8,17,14,29,2,29,2
2012,"jun.",12,11,1,6,6,2,10,11,1,11,1
2013,"ene.",31,16,15,27,4,18,13,27,4,27,4
2013,"feb.",28,16,12,28,0,9,19,28,0,28,0
2013,"mar.",31,18,13,25,6,14,17,28,3,29,2
2013,"abr.",30,26,4,30,0,20,10,30,0,30,0
2013,"may.",31,28,3,26,5,21,10,30,1,30,1
2013,"jun.",12,8,4,4,8,2,10,8,4,8,4
2014,"ene.",31,14,17,29,2,21,10,29,2,29,2
2014,"feb.",28,26,2,28,0,18,10,28,0,28,0
2014,"mar.",31,19,12,25,6,1,30,27,4,27,4
2014,"abr.",30,24,6,21,9,2,28,28,2,28,2
2014,"may.",31,25,6,8,23,5,26,27,4,27,4
2014,"jun.",12,4,8,0,12,0,12,4,8,4,8
2015,"ene.",31,10,21,23,8,10,21,24,7,24,7
2015,"feb.",28,12,16,23,5,3,25,23,5,24,4
2015,"mar.",31,14,17,8,23,4,27,14,17,15,16
2015,"abr.",30,24,6,24,6,11,19,28,2,28,2
2015,"may.",31,25,6,14,17,2,29,25,6,25,6
2015,"jun.",12,10,2,8,4,2,10,11,1,11,1
2016,"ene.",31,8,23,24,7,18,13,24,7,24,7
2016,"feb.",29,19,10,29,0,18,11,29,0,29,0
2016,"mar.",31,9,22,18,13,4,27,20,11,20,11
2016,"abr.",30,23,7,29,1,9,21,30,0,30,0
2016,"may.",31,29,2,25,6,9,22,30,1,30,1
2016,"jun.",12,11,1,5,7,4,8,11,1,11,1
2017,"ene.",31,20,11,30,1,24,7,30,1,30,1
2017,"feb.",28,21,7,26,2,9,19,27,1,27,1
2017,"mar.",31,19,12,21,10,4,27,25,6,25,6
2017,"abr.",30,26,4,21,9,6,24,29,1,29,1
2017,"may.",31,30,1,26,5,17,14,30,1,30,1
2017,"jun.",12,10,2,4,8,2,10,10,2,10,2
